epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.63375,2.10705,3.19224,1.67014,0.33621,0.31177,0.2486,0.10614,1.78773,2.20574,1.43803,8.335e-05,8.335e-05,8.335e-05
2,9.81586,1.67084,1.91889,1.46991,0.47907,0.55192,0.46136,0.22685,1.74623,2.14065,1.38985,0.000181555,0.000181555,0.000181555
3,12.0942,1.4529,1.46642,1.30114,0.31686,0.68135,0.43949,0.24821,1.49673,2.15827,1.24132,0.000277779,0.000277779,0.000277779
4,14.4796,1.3423,1.18767,1.18851,0.67643,0.75876,0.72254,0.44875,1.23558,2.10731,1.15534,0.000372023,0.000372023,0.000372023
5,16.6695,1.24375,1.06313,1.1491,0.70743,0.75177,0.74347,0.46095,1.281,2.16592,1.17226,0.000464286,0.000464286,0.000464286
6,18.8866,1.19581,0.9847,1.14788,0.70884,0.72697,0.73024,0.50119,1.15771,1.54165,1.13862,0.000554569,0.000554569,0.000554569
7,20.9694,1.21095,0.99098,1.12292,0.73873,0.67579,0.75157,0.49966,1.14077,1.61341,1.1172,0.000642872,0.000642872,0.000642872
8,22.9408,1.14193,0.84824,1.06365,0.73873,0.67579,0.75157,0.49966,1.14077,1.61341,1.1172,0.000729194,0.000729194,0.000729194
9,24.8344,1.09504,0.88917,1.05496,0.78625,0.78711,0.81847,0.54497,1.17682,1.71148,1.12356,0.000813536,0.000813536,0.000813536
10,26.9642,1.03968,0.85113,1.03476,0.79404,0.76583,0.81832,0.58421,1.04896,1.3257,1.06464,0.000895897,0.000895897,0.000895897
11,29.2781,1.0216,0.83828,1.05807,0.79404,0.76583,0.81832,0.58421,1.04896,1.3257,1.06464,0.000976279,0.000976279,0.000976279
12,31.5552,1.00151,0.80452,1.03716,0.49137,0.77059,0.5266,0.36699,1.07227,4.8724,1.1189,0.00105468,0.00105468,0.00105468
13,33.4916,1.04153,0.89439,1.08571,0.49137,0.77059,0.5266,0.36699,1.07227,4.8724,1.1189,0.0011311,0.0011311,0.0011311
14,35.4436,1.06515,0.84607,1.09741,0.49137,0.77059,0.5266,0.36699,1.07227,4.8724,1.1189,0.00120554,0.00120554,0.00120554
15,37.3453,1.04413,0.84613,1.07189,0.44345,0.71133,0.49773,0.36846,0.99743,3.4798,1.07641,0.001278,0.001278,0.001278
16,39.2828,1.07417,0.85978,1.03778,0.44345,0.71133,0.49773,0.36846,0.99743,3.4798,1.07641,0.00134848,0.00134848,0.00134848
17,41.4021,1.06183,0.92077,1.08757,0.90517,0.76806,0.81807,0.57538,1.07158,1.11774,1.06192,0.00140295,0.00140295,0.00140295
18,43.3045,1.23662,0.97411,1.12104,0.90517,0.76806,0.81807,0.57538,1.07158,1.11774,1.06192,0.00138644,0.00138644,0.00138644
19,45.2046,1.23607,0.91508,1.09934,0.90517,0.76806,0.81807,0.57538,1.07158,1.11774,1.06192,0.00136994,0.00136994,0.00136994
20,47.1556,1.15979,0.84161,1.07667,0.87156,0.75812,0.81578,0.57526,1.07151,0.98494,1.05721,0.00135344,0.00135344,0.00135344
21,49.1353,1.21939,0.83574,1.06899,0.87156,0.75812,0.81578,0.57526,1.07151,0.98494,1.05721,0.00133693,0.00133693,0.00133693
22,51.0948,1.17384,0.81759,1.0752,0.87156,0.75812,0.81578,0.57526,1.07151,0.98494,1.05721,0.00132043,0.00132043,0.00132043
23,53.0466,0.99774,0.73647,1.01091,0.935,0.81256,0.8493,0.66257,0.86117,0.73996,1.0127,0.00130393,0.00130393,0.00130393
24,55.1153,0.92638,0.67653,0.97477,0.935,0.81256,0.8493,0.66257,0.86117,0.73996,1.0127,0.00128742,0.00128742,0.00128742
25,57.2306,0.90245,0.69656,1.01033,0.96387,0.82265,0.84385,0.63897,0.98849,0.80298,1.08775,0.00127092,0.00127092,0.00127092
26,59.2493,1.08025,0.68454,1.05651,0.96387,0.82265,0.84385,0.63897,0.98849,0.80298,1.08775,0.00125442,0.00125442,0.00125442
27,61.211,1.07085,0.70676,1.08453,0.96387,0.82265,0.84385,0.63897,0.98849,0.80298,1.08775,0.00123791,0.00123791,0.00123791
28,63.1818,0.98609,0.68395,1.05452,0.92733,0.82238,0.82715,0.6674,0.83938,0.73766,1.01256,0.00122141,0.00122141,0.00122141
29,65.347,0.88653,0.68252,1.01782,0.92733,0.82238,0.82715,0.6674,0.83938,0.73766,1.01256,0.00120491,0.00120491,0.00120491
30,67.4563,0.85701,0.62968,0.9786,0.92733,0.82238,0.82715,0.6674,0.83938,0.73766,1.01256,0.0011884,0.0011884,0.0011884
31,69.6487,0.9175,0.63202,0.97793,0.91124,0.8037,0.84779,0.65813,0.90915,0.65895,1.0496,0.0011719,0.0011719,0.0011719
32,71.6339,0.94729,0.65631,0.98926,0.91124,0.8037,0.84779,0.65813,0.90915,0.65895,1.0496,0.0011554,0.0011554,0.0011554
33,73.6624,0.8762,0.65144,1.01957,0.95456,0.79974,0.85669,0.68627,0.7947,0.60193,1.00366,0.00113889,0.00113889,0.00113889
34,75.7289,0.82993,0.66197,0.9986,0.95456,0.79974,0.85669,0.68627,0.7947,0.60193,1.00366,0.00112239,0.00112239,0.00112239
35,77.803,0.84228,0.60145,0.95483,0.95456,0.79974,0.85669,0.68627,0.7947,0.60193,1.00366,0.00110589,0.00110589,0.00110589
36,79.9394,0.83403,0.61986,0.96268,0.97213,0.81667,0.87608,0.67765,0.80506,0.62383,0.99682,0.00108938,0.00108938,0.00108938
